
2023/11/19 (18:04:45) | ===> btop++ v.1.2.13
2023/11/19 (18:04:45) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2023/12/11 (14:02:58) | ===> btop++ v.1.2.13
2023/12/11 (14:02:58) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2023/12/12 (14:38:45) | ===> btop++ v.1.2.13
2023/12/12 (14:38:45) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/01/07 (18:40:24) | ===> btop++ v.1.2.13
2024/01/07 (18:40:24) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/01/07 (19:32:23) | ===> btop++ v.1.2.13
2024/01/07 (19:32:23) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/01/26 (00:38:28) | ===> btop++ v.1.3.0
2024/01/26 (00:38:28) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/02/02 (13:55:12) | ===> btop++ v.1.3.0
2024/02/02 (13:55:12) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/02/02 (14:23:12) | ===> btop++ v.1.3.0
2024/02/02 (14:23:12) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/02/02 (14:58:01) | ===> btop++ v.1.3.0
2024/02/02 (14:58:01) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
